,scale_means,scale_vars
0,0.0825080923416213,88.66567877925073
1,0.05206132394265998,169.58732551534678
2,-0.04930014584000288,44.48640344254864
3,0.003634439583111029,17.390065683769155
4,-0.04992174438871699,13.500287761101188
5,0.10329029274712764,95.17013711857815
6,0.0606329811830826,116.92587478341335
7,-0.002721161028705582,0.30250092476249324
8,-0.0021431366271831543,0.39346847399251395
9,-5.335609860207024e-05,0.004745725701010876
10,-3.557073240138015e-05,0.0010167288358624454
11,-0.00021342439440828124,0.2027768429594956
