Date,temp,dewp,slp,visib,wdsp,max,min,fog,rain_drizzle,snow_ice_pellets,hail,thunder
1946-01-02,8.399999999999999,10.699999999999996,-1.2000000000000455,0.7000000000000011,5.6000000000000005,5.0,11.0,0.0,0.0,0.0,0.0,0.0
1946-01-03,3.9000000000000057,7.399999999999999,-2.3999999999999773,-1.0,-4.0,5.1000000000000085,4.899999999999999,0.0,0.0,0.0,0.0,0.0
1946-01-04,1.5,3.0,-3.0,-1.9000000000000004,5.699999999999999,-1.1000000000000085,5.0,0.0,1.0,0.0,0.0,0.0
1946-01-05,-3.6000000000000014,-10.199999999999996,-12.100000000000023,0.8000000000000007,-2.799999999999999,0.0,-9.0,0.0,0.0,0.0,0.0,1.0
1946-01-06,1.6999999999999957,9.0,-1.1000000000000227,-4.300000000000001,-3.500000000000001,3.1000000000000085,1.1000000000000014,1.0,0.0,0.0,0.0,-1.0
1946-01-07,0.6000000000000085,3.1999999999999957,5.2000000000000455,-4.6,-0.2999999999999998,-6.200000000000003,5.899999999999999,0.0,0.0,0.0,0.0,0.0
1946-01-08,-7.900000000000006,-9.799999999999997,0.6000000000000227,4.1,1.5,-8.800000000000004,-10.0,0.0,0.0,0.0,0.0,1.0
1946-01-09,-4.200000000000003,-10.700000000000003,9.199999999999932,3.6999999999999993,-4.5,6.000000000000007,-6.899999999999999,0.0,-1.0,0.0,0.0,-1.0
1946-01-10,-1.1999999999999957,2.6000000000000014,2.800000000000068,0.8000000000000007,6.1,-10.100000000000009,2.0,-1.0,1.0,0.0,0.0,1.0
1946-01-11,0.0,-0.7999999999999972,-4.399999999999977,-1.5999999999999996,-3.3,2.0,0.8999999999999986,1.0,0.0,0.0,0.0,-1.0
1946-01-12,-5.100000000000001,-2.6000000000000014,8.099999999999909,1.799999999999999,0.2999999999999998,-8.0,-4.0,-1.0,0.0,0.0,0.0,0.0
1946-01-13,-2.200000000000003,-1.7000000000000028,6.100000000000136,-5.6,3.3000000000000007,-5.0,-1.8999999999999986,0.0,0.0,0.0,0.0,0.0
1946-01-14,-1.1999999999999957,-3.0,-9.000000000000114,1.8000000000000007,-0.09999999999999964,-0.8999999999999986,0.0,1.0,0.0,0.0,0.0,0.0
1946-01-15,-1.1000000000000014,1.9000000000000057,-4.5,-1.9000000000000004,-0.6000000000000014,-1.1000000000000014,-1.1000000000000014,0.0,0.0,0.0,0.0,0.0
1946-01-16,-1.7000000000000028,-6.400000000000006,9.100000000000023,5.5,-1.4999999999999991,3.1000000000000014,-4.0,-1.0,-1.0,0.0,0.0,0.0
1946-01-17,1.5,-1.5,3.599999999999909,-1.5,-4.0,9.899999999999999,-3.8999999999999986,1.0,0.0,0.0,0.0,0.0
1946-01-18,4.600000000000001,7.100000000000001,-1.7999999999999545,0.09999999999999964,-1.1,2.0,5.899999999999999,-1.0,0.0,0.0,0.0,0.0
1946-01-19,6.800000000000004,11.399999999999999,-11.699999999999932,-2.0,1.9,4.1000000000000085,7.0,1.0,1.0,0.0,0.0,0.0
1946-01-20,1.6999999999999957,-1.0999999999999943,-6.2000000000000455,3.5999999999999996,2.7,-1.1000000000000085,1.1000000000000014,0.0,-1.0,0.0,0.0,0.0
1946-01-21,-6.699999999999996,-6.5,7.7000000000000455,-1.5,0.0,-11.0,-1.1000000000000014,0.0,1.0,0.0,0.0,0.0
1946-01-22,-5.900000000000006,-12.400000000000002,11.899999999999977,1.200000000000001,2.8,-1.0,-9.899999999999999,0.0,0.0,0.0,0.0,0.0
1946-01-23,1.4000000000000057,0.9000000000000021,-3.2000000000000455,2.5999999999999996,-5.4,9.0,-2.0,-1.0,-1.0,0.0,0.0,0.0
1946-01-24,5.699999999999996,3.299999999999997,2.2000000000000455,-4.3,1.8000000000000007,-0.8999999999999986,6.899999999999999,0.0,0.0,0.0,0.0,0.0
1946-01-25,4.100000000000001,7.399999999999999,-7.0,2.3999999999999995,1.6999999999999993,11.800000000000004,1.1000000000000014,0.0,0.0,0.0,0.0,0.0
1946-01-26,6.399999999999999,12.0,-7.7999999999999545,-0.9000000000000004,0.09999999999999964,-0.9000000000000057,9.899999999999999,1.0,0.0,0.0,0.0,0.0
1946-01-27,-16.1,-27.099999999999998,15.0,5.200000000000001,3.4000000000000004,-16.0,-15.899999999999999,-1.0,0.0,0.0,0.0,0.0
1946-01-28,1.7000000000000028,6.099999999999998,-0.10000000000013642,-4.0,-4.6,-0.8999999999999986,4.899999999999999,0.0,0.0,0.0,0.0,0.0
1946-01-29,7.200000000000003,13.800000000000004,-6.999999999999886,-4.6000000000000005,3.6999999999999993,4.899999999999999,8.100000000000001,1.0,1.0,0.0,0.0,1.0
1946-01-30,4.0,8.299999999999997,-4.800000000000068,-3.9,-8.2,2.0,3.8999999999999986,0.0,0.0,0.0,0.0,-1.0
1946-01-31,-2.200000000000003,-13.200000000000003,4.400000000000091,7.5,7.4,0.0,-3.0,0.0,0.0,0.0,0.0,0.0
1946-02-01,-7.700000000000003,-9.0,5.599999999999909,4.0,-6.0,-4.0,-9.0,-1.0,-1.0,0.0,0.0,0.0
1946-02-02,3.1000000000000014,4.200000000000003,1.7000000000000455,-0.09999999999999964,1.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1946-02-03,10.399999999999999,15.600000000000001,-3.0,-2.700000000000001,6.500000000000001,14.0,13.100000000000001,0.0,1.0,0.0,0.0,0.0
1946-02-04,3.700000000000003,6.199999999999996,-2.7999999999999545,-4.5,-4.200000000000001,3.1000000000000085,0.8999999999999986,1.0,-1.0,0.0,0.0,0.0
